,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),AMER1 (M)
SMAD4 (M),-1.77,-1.21,-0.25,-0.55,-0.16
FAT1 (M),-0.94,-2.57,-1.38,0.19,0.0
KRAS (M),-0.43,-0.95,-0.0,-3.07,0.0
BRAF (M),-0.0,0.0,-3.08,-1.28,-0.01
AMER1 (M),-0.45,0.31,0.07,-0.17,-2.63
