,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),SMAD4/18q (Del)
SMAD4 (M),-2.0,-1.03,-0.52,-0.17,0.42
FAT1 (M),-0.56,-1.67,-1.91,-0.03,-2.53
KRAS (M),-0.0,-0.66,0.23,-3.45,-0.44
BRAF (M),-0.0,-0.74,-2.99,-0.47,-1.71
SMAD4/18q (Del),-1.43,-1.87,-3.2,-3.72,1.43
