,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),KMT2D (M)
SMAD4 (M),-1.78,-1.11,-0.14,-0.42,-1.07
FAT1 (M),-0.88,-2.9,-1.18,-0.0,1.77
KRAS (M),-0.58,-0.89,0.03,-2.99,-0.65
BRAF (M),-0.0,0.0,-3.09,-1.28,-0.0
KMT2D (M),-0.33,-0.0,-1.41,0.39,-1.97
