,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),PTPRS (M)
SMAD4 (M),-1.75,-1.19,-0.25,-0.49,-0.62
FAT1 (M),-0.89,-2.66,-1.36,0.03,0.93
KRAS (M),-0.43,-0.87,0.02,-2.94,-0.68
BRAF (M),-0.01,0.0,-3.16,-1.28,0.0
PTPRS (M),-0.52,0.0,-1.23,0.3,-2.12
