,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),MSH6 (M)
SMAD4 (M),-1.86,-1.11,-0.04,-0.4,-0.68
FAT1 (M),-0.92,-2.52,-1.73,0.14,0.0
KRAS (M),-0.74,-0.62,0.02,-3.06,-0.72
BRAF (M),-0.06,0.0,-3.06,-1.28,0.0
MSH6 (M),-0.21,1.82,-1.38,0.0,-2.93
