,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),BCOR (M)
SMAD4 (M),-1.86,-1.14,-0.0,-0.4,-1.17
FAT1 (M),-0.98,-2.67,-0.89,0.23,-0.0
KRAS (M),-0.86,-1.62,0.03,-2.84,0.0
BRAF (M),-0.02,0.01,-3.32,-1.27,0.0
BCOR (M),-0.02,1.4,-1.69,0.44,-2.95
