,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),FBXW7/4q (Del)
SMAD4 (M),-1.75,-1.31,-0.01,-0.54,-0.51
FAT1 (M),-0.87,-2.21,-1.47,0.0,-2.75
KRAS (M),-0.87,-1.14,0.28,-2.94,-1.32
BRAF (M),-0.0,0.0,-3.35,-1.08,-0.82
FBXW7/4q (Del),-1.64,-2.24,-1.22,-2.58,-0.28
