,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),ASXL1/20q (Amp)
SMAD4 (M),-1.21,-1.3,-0.64,-0.83,-0.66
FAT1 (M),-0.93,-1.29,-2.63,-0.39,-2.49
KRAS (M),-0.08,-0.69,0.62,-3.47,-0.96
BRAF (M),-0.01,-0.74,-3.5,-0.11,-2.13
ASXL1/20q (Amp),-2.44,-2.31,-4.33,-4.6,1.95
