,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),ARID1A (M)
SMAD4 (M),-1.78,-0.95,-0.09,-0.41,-1.08
FAT1 (M),-0.96,-2.79,-1.25,0.03,1.22
KRAS (M),-0.68,-0.84,0.06,-2.83,-0.73
BRAF (M),-0.0,0.0,-3.27,-1.27,-0.0
ARID1A (M),-0.5,-0.0,-1.91,-0.16,-1.56
