,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),SPEN (M)
SMAD4 (M),-1.79,-1.23,-0.16,-0.48,-0.84
FAT1 (M),-0.79,-2.68,-1.24,0.0,1.34
KRAS (M),-0.58,-0.95,0.02,-2.95,-0.97
BRAF (M),-0.01,0.0,-3.14,-1.28,0.0
SPEN (M),-1.12,0.0,-1.85,0.65,-2.78
