,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),ATM (M)
SMAD4 (M),-1.77,-1.16,-0.23,-0.53,-0.24
FAT1 (M),-0.96,-2.56,-1.48,0.17,0.0
KRAS (M),-0.44,-0.83,0.01,-3.0,-0.38
BRAF (M),-0.01,0.0,-3.14,-1.28,0.0
ATM (M),-0.37,0.24,-0.81,0.0,-2.39
