,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),null
SMAD4 (M),-1.81,-1.18,-0.18,-0.45,0.0
FAT1 (M),-0.98,-2.56,-1.43,0.17,0.0
KRAS (M),-0.52,-0.89,0.0,-3.09,0.0
BRAF (M),-0.1,0.0,-3.07,-1.27,0.0
null,0.0,0.0,0.0,0.0,0.0
