,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),TP53/17p (Del)
SMAD4 (M),-1.55,-1.32,-0.63,-0.41,-0.29
FAT1 (M),-0.9,-2.08,-1.46,-0.0,-2.1
KRAS (M),-0.0,-0.88,0.1,-3.18,-0.34
BRAF (M),-0.29,-0.0,-3.05,-0.86,-1.4
TP53/17p (Del),-1.65,-1.98,-2.63,-2.32,0.49
