,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),FBXW7 (M)
SMAD4 (M),-1.67,-1.11,-0.31,-0.5,-1.07
FAT1 (M),-0.95,-2.59,-1.31,0.19,0.0
KRAS (M),-0.32,-0.92,0.04,-2.94,-0.6
BRAF (M),-0.0,0.0,-3.17,-1.28,-0.0
FBXW7 (M),-0.82,0.27,-0.52,-0.25,-1.54
