,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),ARID1A/1p (Del)
SMAD4 (M),-1.62,-1.25,-0.63,-0.36,-0.2
FAT1 (M),-0.91,-2.22,-1.89,0.0,-1.85
KRAS (M),-0.0,-0.59,0.01,-3.31,-0.19
BRAF (M),-0.38,-0.0,-2.9,-1.01,-1.48
ARID1A/1p (Del),-1.6,-1.86,-2.62,-2.2,-0.16
