,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),B2M/15q (Del)
SMAD4 (M),-1.62,-1.21,-0.02,-0.59,-1.67
FAT1 (M),-0.99,-2.32,-1.26,0.0,-1.74
KRAS (M),-0.78,-1.16,0.34,-3.27,-2.39
BRAF (M),-0.0,0.0,-3.13,-0.96,-2.3
B2M/15q (Del),-0.19,-0.86,-0.53,-1.88,-0.64
