,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),KMT2A (M)
SMAD4 (M),-1.8,-1.1,-0.14,-0.48,-0.98
FAT1 (M),-0.93,-2.65,-1.17,0.0,1.08
KRAS (M),-0.61,-1.08,0.02,-2.86,-0.85
BRAF (M),-0.0,0.11,-3.25,-1.28,-0.0
KMT2A (M),-1.31,-0.0,-1.43,0.7,-2.87
