,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),NOTCH1 (M)
SMAD4 (M),-1.78,-0.97,-0.2,-0.51,-1.35
FAT1 (M),-1.04,-2.69,-1.16,0.0,1.52
KRAS (M),-0.51,-1.07,0.02,-3.01,-0.65
BRAF (M),-0.0,0.18,-3.12,-1.28,-0.15
NOTCH1 (M),-0.84,0.0,-1.44,0.0,-2.78
