,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),FLT3/13q (Amp)
SMAD4 (M),-1.54,-1.23,-0.12,-0.59,-0.57
FAT1 (M),-0.89,-1.94,-1.77,-0.03,-1.47
KRAS (M),-0.59,-0.69,0.24,-3.15,-0.45
BRAF (M),-0.0,-0.02,-3.16,-0.67,-1.48
FLT3/13q (Amp),-1.38,-1.92,-2.75,-3.29,1.12
