,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),SMARCA4 (M)
SMAD4 (M),-1.78,-1.26,-0.19,-0.49,-0.78
FAT1 (M),-0.83,-2.63,-1.42,0.1,1.05
KRAS (M),-0.52,-0.78,0.03,-3.09,-1.14
BRAF (M),-0.02,0.01,-3.05,-1.27,-0.24
SMARCA4 (M),-0.69,0.0,-1.49,-0.0,-2.68
