,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),RAC1/7p (Amp)
SMAD4 (M),-1.55,-1.08,-0.65,-0.54,-0.24
FAT1 (M),-1.04,-2.08,-2.14,0.0,-1.19
KRAS (M),-0.01,-0.51,0.1,-3.19,-0.32
BRAF (M),-0.16,-0.0,-3.1,-0.88,-1.12
RAC1/7p (Amp),-2.23,-1.67,-3.53,-3.38,0.7
