,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),SETD2 (M)
SMAD4 (M),-1.79,-1.15,-0.19,-0.47,-0.82
FAT1 (M),-0.95,-2.53,-1.64,0.15,0.0
KRAS (M),-0.51,-0.72,0.01,-3.18,-0.68
BRAF (M),-0.04,0.0,-2.97,-1.28,0.0
SETD2 (M),-0.6,0.44,-1.5,0.24,-3.05
