,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),NF1 (M)
SMAD4 (M),-1.81,-0.99,-0.13,-0.5,-0.94
FAT1 (M),-1.09,-2.65,-1.4,0.19,1.19
KRAS (M),-0.62,-0.74,0.03,-3.08,-1.37
BRAF (M),-0.0,0.0,-3.06,-1.27,-0.16
NF1 (M),-0.46,0.0,-1.46,-0.27,-2.7
