,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),B2M (M)
SMAD4 (M),-1.79,-1.5,-0.19,-0.54,-0.15
FAT1 (M),-0.73,-2.56,-1.49,0.14,-0.0
KRAS (M),-0.52,-0.75,0.02,-3.05,-0.83
BRAF (M),-0.0,-0.0,-3.08,-1.29,0.18
B2M (M),-0.8,1.86,-1.03,0.0,-2.86
