,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),EP300 (M)
SMAD4 (M),-1.85,-1.11,-0.03,-0.43,-1.09
FAT1 (M),-0.88,-2.69,-1.13,-0.0,1.29
KRAS (M),-0.78,-1.18,0.02,-3.03,-0.2
BRAF (M),-0.01,0.12,-3.09,-1.28,-0.0
EP300 (M),-1.03,-0.0,-1.58,0.55,-2.73
