,SMAD4 (M),FAT1 (M),KRAS (M),BRAF (M),NOTCH3 (M)
SMAD4 (M),-1.76,-1.13,-0.25,-0.51,-0.89
FAT1 (M),-0.94,-2.56,-1.45,0.16,0.0
KRAS (M),-0.44,-0.84,0.01,-3.08,-0.54
BRAF (M),-0.01,0.0,-3.06,-1.28,0.01
NOTCH3 (M),-0.72,1.18,-1.16,0.11,-2.78
