,T0,T1,T2,A_1
T0,-0.92,-1.17,0.02,0.0
T1,0.24,-1.84,-0.0,-0.61
T2,-0.19,0.78,-2.05,-1.12
A_1,-0.1,-0.37,-0.35,-2.22
