,T0,T1,T2,E_3
T0,-0.95,-0.37,-0.22,-0.06
T1,-0.27,-1.78,0.43,-0.16
T2,-0.11,0.47,-2.1,0.19
E_3,-0.45,-0.33,-0.06,-1.97
