,T0,T1,T2,D_0
T0,-0.98,-1.02,-0.12,0.38
T1,-0.03,-1.94,-0.0,0.69
T2,-0.0,0.99,-2.05,-1.0
D_0,-0.02,0.48,-0.17,-1.45
