,T0,T1,T2,C_1
T0,-0.94,-0.85,0.08,-0.08
T1,0.05,-1.87,-0.03,0.39
T2,-0.33,0.9,-2.03,-0.96
C_1,-0.96,0.12,-0.01,-1.83
