,T0,T1,T2,A_0
T0,-0.79,-0.8,0.24,-0.01
T1,-0.01,-2.02,-0.0,-0.1
T2,0.0,0.44,-2.03,-0.87
A_0,-0.13,-0.83,-0.1,-2.32
