,T0,T1,T2,A_1
T0,-0.77,-1.06,0.26,0.04
T1,-0.08,-1.99,-0.0,-0.49
T2,0.0,0.75,-2.2,-0.3
A_1,0.0,-0.28,-0.33,-2.23
