,T0,T1,T2,A_0
T0,-0.91,-0.97,0.36,-0.0
T1,-0.12,-1.89,-0.0,-0.29
T2,0.0,0.62,-2.01,-0.61
A_0,-0.0,-0.3,-0.8,-2.44
