,T0,T1,T2,C_1
T0,-0.84,-1.19,0.42,-0.95
T1,-0.01,-1.96,0.0,0.24
T2,0.0,0.58,-2.03,-0.06
C_1,-0.03,0.0,-0.28,-1.87
