,T0,T1,T2,B_2
T0,-0.85,-1.31,0.37,0.16
T1,-0.01,-1.98,-0.0,-0.0
T2,-0.0,0.52,-2.11,-0.17
B_2,-0.25,0.49,-0.28,-1.56
