,T0,T1,T2,C_2
T0,-0.77,-1.16,0.42,-0.74
T1,-0.05,-2.01,-0.0,0.27
T2,-0.0,0.47,-2.13,-0.0
C_2,0.03,0.0,-0.14,-1.65
