,T0,T1,T2,A_1
T0,-0.83,-1.08,0.47,-0.23
T1,-0.09,-1.94,-0.0,-0.21
T2,-0.14,0.52,-2.09,-0.18
A_1,0.01,-0.38,-1.22,-2.19
