,T0,T1,T2,A_0
T0,-0.9,-0.47,0.22,-0.01
T1,0.05,-1.73,-0.08,-0.22
T2,0.0,0.87,-2.1,-0.52
A_0,-0.13,-0.75,-0.12,-2.39
