,T0,T1,T2,C_0
T0,-0.87,-0.52,0.2,-0.22
T1,0.06,-1.82,-0.07,0.46
T2,0.04,0.84,-2.11,-0.2
C_0,-0.36,-0.13,0.15,-1.64
