,T0,T1,T2,D_0
T0,-0.94,-1.02,-0.05,0.52
T1,0.04,-2.04,-0.35,1.21
T2,0.26,0.97,-2.16,-0.3
D_0,-0.28,0.56,0.24,-1.26
