,T0,T1,T2,B_0
T0,-0.9,-0.5,0.2,-0.04
T1,-0.02,-1.86,-0.1,0.74
T2,0.03,0.89,-2.09,-0.31
B_0,-0.15,0.08,0.0,-1.57
