,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),KEAP1 (M)
ATRX (M),-3.36,-0.23,-0.66,-0.02,0.0,0.01
SETD2 (M),-0.16,-2.95,-0.33,0.0,-0.0,-0.71
BCL2/18q (Del),-0.0,-0.31,-1.05,0.49,-0.0,-0.48
SMAD4 (M),-0.11,0.0,0.0,-3.33,-0.02,-0.8
PIK3CA (M),0.0,-0.0,-0.51,-0.01,-2.72,-0.83
KEAP1 (M),0.0,-0.67,-1.46,-0.62,-0.98,-1.82
