,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),TP53 (M)
ATRX (M),-3.28,-0.24,-0.61,-0.01,-0.0,-0.23
SETD2 (M),-0.09,-2.67,-0.64,0.0,-0.0,-0.93
BCL2/18q (Del),-0.01,-0.0,-1.09,0.49,-0.37,-0.0
SMAD4 (M),-0.12,0.0,0.0,-3.14,-0.1,-0.75
PIK3CA (M),0.0,-0.0,-0.0,-0.01,-2.54,-1.19
TP53 (M),-0.47,-1.22,-1.5,-0.28,-0.19,-0.07
