,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),ATM (M)
ATRX (M),-3.41,-0.22,-0.64,-0.02,-0.0,0.64
SETD2 (M),-0.19,-2.99,-0.31,0.0,-0.0,-0.56
BCL2/18q (Del),-0.0,-0.32,-1.06,0.47,-0.03,-0.85
SMAD4 (M),-0.12,0.0,0.0,-3.35,-0.03,-0.92
PIK3CA (M),0.0,-0.0,-0.43,-0.01,-2.78,-0.55
ATM (M),0.0,-0.33,-0.33,-0.78,-0.5,-2.68
