,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),RB1/13q (Del)
ATRX (M),-3.35,-0.24,-0.45,-0.06,0.0,-0.23
SETD2 (M),-0.16,-2.9,-0.12,0.0,-0.0,-1.0
BCL2/18q (Del),-0.21,-0.27,-1.28,0.63,-0.01,0.86
SMAD4 (M),-0.13,0.0,0.0,-3.27,-0.03,-0.68
PIK3CA (M),-0.0,-0.0,-0.42,-0.01,-2.73,-0.42
RB1/13q (Del),-0.01,-0.6,0.0,-0.63,-0.47,-1.16
