,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),NF1 (M)
ATRX (M),-3.38,-0.22,-0.54,-0.08,-0.0,-0.0
SETD2 (M),-0.21,-2.98,-0.37,0.0,-0.0,-0.46
BCL2/18q (Del),-0.06,-0.26,-1.06,0.5,-0.05,-0.64
SMAD4 (M),-0.16,0.0,0.0,-3.39,-0.01,0.01
PIK3CA (M),0.0,-0.0,-0.42,-0.01,-2.77,-0.99
NF1 (M),-0.0,-0.43,-0.9,0.0,-0.92,-2.58
