,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),KRAS (M)
ATRX (M),-3.45,-0.1,-0.17,-0.13,0.0,0.0
SETD2 (M),-0.01,-2.64,-0.52,0.0,-0.0,-1.8
BCL2/18q (Del),-0.0,-0.18,-0.74,0.46,-0.02,-1.83
SMAD4 (M),-0.0,0.0,0.0,-3.06,-0.01,-1.83
PIK3CA (M),0.0,-0.0,-0.36,-0.01,-2.55,-1.15
KRAS (M),0.46,-0.2,-0.71,-0.04,-0.08,-0.51
