,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),MET (M)
ATRX (M),-3.36,-0.23,-0.56,-0.05,-0.0,-0.42
SETD2 (M),-0.22,-2.98,-0.35,0.0,-0.0,-0.83
BCL2/18q (Del),-0.06,-0.29,-1.07,0.49,-0.06,-0.51
SMAD4 (M),-0.16,0.0,0.0,-3.39,-0.03,-0.03
PIK3CA (M),0.0,-0.0,-0.38,-0.01,-2.81,-0.11
MET (M),-0.37,-0.82,-0.84,-0.01,-0.14,-2.95
