,ATRX (M),SETD2 (M),BCL2/18q (Del),SMAD4 (M),PIK3CA (M),STK11 (M)
ATRX (M),-3.3,-0.26,-0.69,-0.04,-0.0,-0.5
SETD2 (M),-0.19,-2.88,-0.3,0.0,-0.0,-1.71
BCL2/18q (Del),-0.0,-0.4,-1.02,0.49,-0.0,-0.57
SMAD4 (M),-0.15,0.0,0.0,-3.31,-0.04,-0.78
PIK3CA (M),0.0,-0.0,-0.56,-0.01,-2.68,-1.05
STK11 (M),-0.72,-1.53,-1.86,-0.81,-1.29,-1.42
