,T0,T1,T2,D_0
T0,-0.83,-0.46,-0.0,0.0
T1,-1.14,-1.64,-0.0,-0.0
T2,0.0,0.0,-1.93,0.0
D_0,0.22,0.92,0.52,-1.36
