,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),STK11 (M)
TP53 (M),0.7,-0.56,-3.99,-3.05,-0.4
MCL1/1q (Amp),-0.34,-0.03,-2.54,-0.55,0.0
TERT/5p (Amp),0.46,0.9,-0.89,-0.67,-0.38
KRAS (M),-0.59,-1.19,-3.5,0.23,-0.09
STK11 (M),-1.71,0.28,-2.91,0.12,-1.07
