,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),BRAF (M)
TP53 (M),0.68,-0.36,-4.0,-2.88,-2.43
MCL1/1q (Amp),-0.48,0.06,-2.92,-0.56,-1.08
TERT/5p (Amp),0.49,0.9,-0.91,-0.72,-0.59
KRAS (M),-0.62,-1.22,-3.75,0.29,-2.1
BRAF (M),-0.01,-0.0,-2.21,-1.61,-2.19
