,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),EGFR/7p (Amp)
TP53 (M),0.86,-1.49,-3.5,-2.61,-2.04
MCL1/1q (Amp),0.01,-0.48,-0.54,-0.12,0.16
TERT/5p (Amp),0.33,0.0,-0.93,-0.44,1.07
KRAS (M),-0.53,-1.98,-3.81,0.44,-2.69
EGFR/7p (Amp),0.95,0.0,-1.17,-1.23,-0.76
