,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),EGFR (M)
TP53 (M),0.88,-0.0,-3.59,-3.08,-2.05
MCL1/1q (Amp),-0.62,0.37,-2.85,-0.85,-1.71
TERT/5p (Amp),0.51,0.96,-0.7,-0.98,-0.9
KRAS (M),-0.52,-1.1,-3.32,0.61,-5.52
EGFR (M),0.05,0.34,-0.61,-5.09,-0.28
