,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),ARID1A (M)
TP53 (M),0.48,-0.0,-3.39,-1.98,0.0
MCL1/1q (Amp),-0.97,0.11,-3.18,-0.47,0.0
TERT/5p (Amp),0.45,0.92,-0.93,-0.69,-0.0
KRAS (M),-0.98,-1.49,-3.89,0.35,-0.59
ARID1A (M),0.14,-0.55,-1.12,-0.0,-2.65
