,TP53 (M),MCL1/1q (Amp),TERT/5p (Amp),KRAS (M),RBM10 (M)
TP53 (M),0.65,-0.18,-3.67,-2.49,-2.11
MCL1/1q (Amp),-0.68,0.11,-2.87,-0.51,-0.67
TERT/5p (Amp),0.45,0.9,-0.89,-0.69,-0.49
KRAS (M),-0.72,-1.21,-3.49,0.31,-0.86
RBM10 (M),-0.64,-0.9,-0.83,-0.04,-1.44
