,EGFR (M),MET (M),KRAS (M),BRAF (M),RBM10 (M)
EGFR (M),-0.1,-3.39,-5.47,-3.0,-0.84
MET (M),-3.47,-2.11,-2.63,-1.74,-0.61
KRAS (M),-5.46,-2.4,0.1,-2.34,-0.9
BRAF (M),-2.96,-1.77,-2.19,-1.96,-0.74
RBM10 (M),-0.53,-1.0,-0.08,-1.11,-1.87
