,EGFR (M),MET (M),KRAS (M),BRAF (M),TP53 (M)
EGFR (M),0.37,-3.56,-5.66,-2.91,-2.41
MET (M),-3.26,-1.71,-2.45,-1.63,-1.9
KRAS (M),-5.35,-2.93,0.61,-2.49,-3.3
BRAF (M),-2.84,-1.84,-2.21,-1.55,-1.92
TP53 (M),0.0,-0.76,-0.84,-0.24,-0.02
