,T0,T1,T2,E_1
T0,-0.87,-0.9,0.0,0.07
T1,-0.27,-2.07,0.34,-0.74
T2,-0.11,0.34,-2.06,0.39
E_1,0.02,-0.14,-0.0,-2.54
