,T0,T1,T2,C_1
T0,-0.87,-0.8,-0.08,0.04
T1,-0.35,-2.07,-0.0,0.17
T2,0.0,0.61,-2.04,-0.51
C_1,-0.77,-0.12,0.05,-1.79
