,T0,T1,T2,B_1
T0,-0.86,-0.99,-0.0,-0.0
T1,-0.25,-2.12,-0.0,0.11
T2,-0.06,0.57,-2.04,-0.06
B_1,-0.32,0.02,-0.27,-0.04
