,T0,T1,T2,D_0
T0,-0.94,-1.18,-0.13,0.51
T1,-0.28,-2.15,0.0,0.4
T2,0.13,0.7,-2.01,-0.77
D_0,-0.3,0.4,0.12,-1.25
