,T0,T1,T2,C_2
T0,-0.64,-0.72,0.5,-0.59
T1,-0.21,-2.06,0.0,0.03
T2,0.0,0.53,-2.08,0.0
C_2,-0.09,0.07,-0.24,-1.75
