,T0,T1,T2,D_0
T0,-0.7,-0.93,0.46,0.25
T1,-0.24,-2.14,0.0,0.68
T2,0.0,0.5,-2.07,-0.07
D_0,-0.01,0.44,-0.0,-1.96
